2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Kotlin Code Quality and Security / 2.12.0.1956 / a6df1ae252bd62d63f8673c28f87ad14258a7904
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy PHP Code Quality and Security / 3.27.1.9352 / 3ddc5a03e1a7e3729d41e7c1a30a37d5715958c7
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Python Code Quality and Security / 3.24.1.11916 / cc8f4fa745eb33d31c3869bdfdfd45514e67c1fe
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Ruby Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Scala Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Text Code Quality and Security / 2.0.2.1090 / 7eb026363b98f5f98b43c603772b5177869c2c6a
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy VB.NET Code Quality and Security / 8.51.0.59060 / e14c642f118958f22fd08841dc42f9aae480366a
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy XML Code Quality and Security / 2.7.0.3820 / 656bccc1910d50c8984536bd2dfd917066b858e6
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy ecoCode - Java language / 1.5.0 / 5fb4f62da387c20ff030b38b881874bef4a47fd6
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy ecoCode - Python language / 1.4.2 / c60a4757d6b0960dbdd428c1135aba71cf7b45bf
2024.02.07 13:25:04 INFO  web[][o.s.s.p.ServerPluginManager] Deploy ecoCode JavaScript plugin / 1.4.0 / null
2024.02.07 13:25:07 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2024.02.07 13:25:07 WARN  web[][o.s.a.s.w.WebService$Action] Description is not set on action api/monitoring/metrics
2024.02.07 13:25:07 WARN  web[][o.s.a.s.w.WebService$Action] Since is not set on action api/monitoring/metrics
2024.02.07 13:25:07 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/monitoring/metrics
2024.02.07 13:25:07 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2024.02.07 13:25:07 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@103c97ff [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2024.02.07 13:25:08 INFO  web[][o.s.s.p.DetectPluginChange] Detect plugin changes
2024.02.07 13:25:08 INFO  web[][o.s.s.p.DetectPluginChange] No plugin change detected
2024.02.07 13:25:08 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2024.02.07 13:25:10 INFO  web[][o.s.s.s.LogServerId] Server ID: 147B411E-AY1Xq68qLnx_qqp_PapM
2024.02.07 13:25:10 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2024.02.07 13:25:10 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties
2024.02.07 13:25:11 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action saml/validation_init
2024.02.07 13:25:12 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2024.02.07 13:25:12 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2024.02.07 13:25:12 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/analysis_cache/get
2024.02.07 13:25:12 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2024.02.07 13:25:12 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/push/sonarlint_events
2024.02.07 13:25:12 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 6 elements
2024.02.07 13:25:12 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2024.02.07 13:25:12 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2024.02.07 13:25:12 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2024.02.07 13:25:12 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2024.02.07 13:25:12 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2024.02.07 13:25:12 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2024.02.07 13:25:12 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@41d07b1 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@4ea19231 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@46f4912d [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@d604850 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@612ce6c2 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.SamlValidationRedirectionFilter@23dec0cc [pattern=UrlPattern{inclusions=[/oauth2/callback/saml], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@41c15063 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@4eeca2c3 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@e123d4f [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@517329da [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@157fe648 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationInitAction@5eaa9421 [pattern=UrlPattern{inclusions=[/saml/validation_init], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationAction@78dee88d [pattern=UrlPattern{inclusions=[/saml/validation], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.user.ws.ChangePasswordAction@48f0572a [pattern=UrlPattern{inclusions=[/api/users/change_password], exclusions=[]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@1d7d3658 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2024.02.07 13:25:12 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2024.02.07 13:25:12 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2024.02.07 13:25:12 INFO  web[][o.s.s.p.Platform] Web Server is operational
