2024.01.29 15:16:46 INFO  web[][DbMigrations] #6506 'Add column 'education_principles' to 'rules''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6506 'Add column 'education_principles' to 'rules'': success | time=26ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6507 'Overwrite plugin file hash to force reloading rules'...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6507 'Overwrite plugin file hash to force reloading rules': success | time=20ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6508 'Migrate 'sonarlint_ad_seen' from users to properties'...
2024.01.29 15:16:46 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6508 'Migrate 'sonarlint_ad_seen' from users to properties': success | time=24ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6509 'Drop column sonarlint_ad_seen in 'users''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6509 'Drop column sonarlint_ad_seen in 'users'': success | time=31ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6510 'Create table 'push_events''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6510 'Create table 'push_events'': success | time=24ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6511 'Create index 'idx_push_even_crea_uuid_proj' on 'push_events''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6511 'Create index 'idx_push_even_crea_uuid_proj' on 'push_events'': success | time=25ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6512 'Add column 'language' to 'push_events''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6512 'Add column 'language' to 'push_events'': success | time=28ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token'': success | time=18ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token'': success | time=10ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings'': success | time=13ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components'': success | time=13ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components'': success | time=8ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components'': success | time=7ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components'': success | time=25ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components'': success | time=12ms
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6606 'Drop index for 'kee' in 'components''...
2024.01.29 15:16:46 INFO  web[][DbMigrations] #6606 'Drop index for 'kee' in 'components'': success | time=9ms
